Map Size: X Y Z
15 8 15

Map Dimensions: minW maxE minS maxN height
-1.5 10.5 -1.5 10.5 4
Camera Rotations:
SW: 40 45 0
SE: 40 315 0
NE: 40 225 0
NW: 40 135 0

Map Specs (i.e. walls, corners, etc): X Y Z | Type | TilePreset
Area paint: X1-X2 Y1-Y2 Z1-Z2  | Type | TilePreset
(Remember the first row is 0 for each variable and the last row is the map size -1) DO NOT DELETE ANY NOTES
//Park
0 0 0 | 10 | temp
1 0 0 | 6 | temp
2 0 0 | 6 | temp
3 0 0 | 6 | temp
4 0 0 | 6 | temp
5 0 0 | 6 | temp
6 0 0 | 6 | temp
7 0 0 | 6 | temp
8 0 0 | 6 | temp
9 0 0 | 9 | temp
0 0 1 | 4 | temp
0 0 2 | 4 | temp
0 0 3 | 4 | temp
0 0 4 | 4 | temp
0 0 5 | 4 | temp
0 0 6 | 8 | temp
9 0 1 | 5 | temp
9 0 2 | 5 | temp
9 0 3 | 5 | temp
9 0 4 | 5 | temp
9 0 5 | 5 | temp
9 0 6 | 7 | temp
1 0 6 | 3 | temp
2 0 6 | 3 | temp
3 0 6 | 3 | temp
4 0 6 | 3 | temp
5 0 6 | 3 | temp
6 0 6 | 3 | temp
7 0 6 | 3 | temp
8 0 6 | 3 | temp
9 0 6 | 7 | temp
//Building
11 0 0 | 10 | temp
12 0 0 | 6 | temp
13 0 0 | 6 | temp
14 0 0 | 9 | temp
11 0 1 | 4 | temp
11 0 2 | 4 | temp
11 0 3 | 4 | temp
11 0 4 | 4 | temp
11 0 5 | 4 | temp
11 0 6 | 8 | temp
12 0 6 | 3 | temp
14 0 6 | 7 | temp
14 0 1 | 5 | temp
14 0 2 | 5 | temp
14 0 3 | 5 | temp
14 0 4 | 5 | temp
14 0 5 | 5 | temp
11 3 0 | 10 | temp
12 3 0 | 6 | temp
13 3 0 | 6 | temp
14 3 0 | 9 | temp
11 3 1 | 4 | temp
11 3 2 | 4 | temp
11 3 3 | 4 | temp
11 3 4 | 10 | temp
11 3 5 | 4 | temp
11 3 6 | 8 | temp
12 3 6 | 7 | temp
13 3 6 | 3 | temp
14 3 6 | 7 | temp
14 3 1 | 5 | temp
14 3 2 | 5 | temp
14 3 3 | 5 | temp
14 3 4 | 5 | temp
14 3 5 | 5 | temp
12 3 4 | 9 | temp
12 3 5 | 1 | temp
11 1 0 | 14 | temp
12 1 0 | 23 | temp
13 1 0 | 23 | temp
14 1 0 | 13 | temp
11 1 1 | 21 | temp
11 1 2 | 21 | temp
11 1 3 | 21 | temp
11 1 4 | 21 | temp
11 1 5 | 21 | temp
11 1 6 | 12 | temp
